quantization_scheme,one_minus_rmse,rmse,power_w,energy_mj,notes
Static mixed precision,0.74,0.26,0.034,1.70,Fixed bit-widths per layer (offline sensitivity analysis)
Variance-aware dynamic (proposed),0.76,0.24,0.029,1.45,Dynamic selection of precision profiles based on input variance
